Marque,Modèle,Energie,Carrosserie,Gamme
OPEL,MOKKA,ESSENCE,TS TERRAINS/CHEMINS,INFERIEURE
FORD,PUMA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,INFERIEURE
B.M.W.,420,GAZ+ELEC HNR,BERLINE,MOYENNE SUPERIEURE
VOLKSWAGEN,GOLF,GAZOLE,BERLINE,MOYENNE INFERIEURE
B.M.W.,116,ESSENCE,BERLINE,MOYENNE INFERIEURE
MINI,COUNTRYMAN,ESSENCE,TS TERRAINS/CHEMINS,INFERIEURE
VOLKSWAGEN,CADDY,GAZOLE,COMBISPACE,INFERIEURE
B.M.W.,118,ESSENCE,BERLINE,MOYENNE INFERIEURE
MERCEDES,E 300,ESS+ELEC HNR,CABRIOLET,LUXE
MERCEDES,V 300,GAZOLE,MONOSPACE,SUPERIEURE
B.M.W.,X4,ESS+ELEC HNR,TS TERRAINS/CHEMINS,SUPERIEURE
OPEL,COMBO,GAZOLE,COMBISPACE,INFERIEURE
B.M.W.,530,GAZ+ELEC HNR,BREAK,LUXE
OPEL,COMBO,GAZOLE,COMBISPACE,INFERIEURE
OPEL,ASTRA,ESSENCE,BERLINE,MOYENNE INFERIEURE
SEAT,ATECA,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
MERCEDES,E 63 AMG,ESSENCE,BERLINE,LUXE
FIAT,500,ESSENCE,BERLINE,ECONOMIQUE
RENAULT,MEGANE,ESSENCE,BREAK,MOYENNE INFERIEURE
PEUGEOT,508,ELEC+ESSENC HR,BREAK,MOYENNE SUPERIEURE
B.M.W.,X3,ESS+ELEC HNR,TS TERRAINS/CHEMINS,SUPERIEURE
MERCEDES,GLE 350,ELEC+GAZOLE HR,TS TERRAINS/CHEMINS,LUXE
DACIA,SANDERO,ESSENCE,BERLINE,INFERIEURE
NISSAN,QASHQAI,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
JEEP,RENEGADE,ESSENCE,TS TERRAINS/CHEMINS,INFERIEURE
MERCEDES,GLE 400,GAZOLE,TS TERRAINS/CHEMINS,LUXE
B.M.W.,530,ELEC+ESSENC HR,BREAK,LUXE
B.M.W.,X3,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,SUPERIEURE
B.M.W.,116,ESSENCE,BERLINE,MOYENNE INFERIEURE
RENAULT,TRAFIC,GAZOLE,MINIBUS,MOYENNE SUPERIEURE
SKODA,KAMIQ,ESSENCE,TS TERRAINS/CHEMINS,MOYENNE INFERIEURE
MERCEDES,V 300,GAZOLE,MONOSPACE,SUPERIEURE
B.M.W.,118,ESSENCE,BERLINE,MOYENNE INFERIEURE
